Name|Description|Effect type|Effect value|Candy type|Price
Frosty Fizz|Boosts player's stamina by 10 units|stamina|10|magical|10
Lucky Licorice|Decreases opponents stamina by 10 units (mild)|stamina|-10|poison|15
Crimson Crystal|Boosts player's stamina by 15 units|stamina|15|magical|20
Venomous Vortex|Decreases opponents stamina by 15 units(moderate)|stamina|-15|poison|20
Bubblegum Blast|Protects against mild poison candy|other|1|immunity|15
Mystic Marshmallow|Boosts player's stamina by 20 units|stamina|20|magical|30
Sparkling Sapphire|Protects against mild and oderate poison candies|other|2|immunity|20
Toxic Taffy|Decreases opponents stamina by 20 munits(strong)|stamina|-20|poison|25
Caramel Comet|Protects against all poison candies|other|3|immunity|25
Breezy Butterscotch|Boosts player's stamina by 30 units|stamina|30|magical|30
Jellybean of Vigor|Boosts player's stamina by 50 units|stamina|50|magical|50
